# Energies_eV	Fe-foil-8.5mu
7058.45	0.44422
7059.45	0.44037
7060.45	0.44005
7061.45	0.43997
7062.45	0.43896
7063.45	0.43794
7064.45	0.43645
7065.45	0.43612
7066.45	0.43784
7067.45	0.43782
7068.45	0.43752
7069.45	0.43725
7070.45	0.43663
7071.45	0.43748
7072.45	0.43716
7073.45	0.43731
7074.45	0.43721
7075.45	0.43671
7076.45	0.43725
7077.45	0.43767
7078.45	0.4384
7079.45	0.43796
7080.45	0.43771
7081.45	0.43749
7082.45	0.43717
7083.45	0.43824
7084.45	0.43879
7085.45	0.43916
7086.45	0.43981
7087.45	0.44036
7088.45	0.44161
7089.45	0.44277
7090.45	0.44209
7091.45	0.4421
7092.45	0.44252
7093.45	0.44373
7094.45	0.44518
7095.45	0.44645
7096.45	0.44728
7097.45	0.44895
7098.45	0.4508
7099.45	0.45252
7100.45	0.45493
7101.45	0.45744
7102.45	0.46265
7103.45	0.46558
7104.45	0.47347
7105.45	0.48144
7106.45	0.49448
7107.45	0.53028
7108.45	0.56637
7109.45	0.71525
7110.45	0.79834
7111.45	0.98202
7112.45	1.06812
7113.45	1.17366
7114.45	1.25159
7115.45	1.30301
7116.45	1.4382
7117.45	1.52085
7118.45	1.70176
7119.45	1.83052
7120.45	1.97055
7121.45	2.11933
7122.45	2.20285
7123.45	2.32921
7124.45	2.39351
7125.45	2.49587
7126.45	2.5793
7127.45	2.65839
7128.45	2.76096
7129.45	2.80403
7130.45	2.82567
7131.45	2.80793
7132.45	2.76825
7133.45	2.72899
7134.45	2.69736
7135.45	2.67943
7136.45	2.67936
7137.45	2.69609
7138.45	2.70882
7139.45	2.7285
7140.45	2.74
7141.45	2.7446
7142.45	2.74328
7143.45	2.74589
7144.45	2.75711
7145.45	2.77241
7146.45	2.79637
7147.45	2.82424
7148.45	2.84719
7149.45	2.87499
7150.45	2.88927
7151.45	2.90297
7152.45	2.90853
7153.45	2.91455
7154.45	2.91152
7155.45	2.91134
7156.45	2.90963
7157.45	2.90681
7158.45	2.9071
7159.45	2.90422
7160.45	2.89725
7161.45	2.89359
7162.45	2.88907
7163.45	2.88084
7164.45	2.8765
7165.45	2.86989
7166.45	2.86543
7167.45	2.86
7168.45	2.85243
7169.45	2.84674
7170.45	2.83351
7171.45	2.82224
7172.45	2.80431
7173.45	2.7886
7174.45	2.76758
7175.45	2.7483
7176.45	2.73019
7177.45	2.70957
7178.45	2.69877
7179.45	2.68827
7180.45	2.68389
7181.45	2.68341
7182.45	2.68668
7183.45	2.69292
7184.45	2.70682
7185.45	2.71754
7186.45	2.73489
7187.45	2.75042
7188.45	2.771
7189.45	2.78896
7190.45	2.81123
7191.45	2.83291
7192.45	2.84663
7193.45	2.85813
7194.45	2.86298
7195.45	2.86285
7196.45	2.85602
7197.45	2.84502
7198.45	2.8296
7199.45	2.81322
7200.45	2.78733
7201.45	2.77046
7202.45	2.74211
7203.45	2.72182
7204.45	2.6977
7205.45	2.68067
7206.45	2.66649
7207.45	2.66242
7208.45	2.66492
7209.45	2.684
7210.45	2.70462
7211.45	2.744
7212.45	2.78127
7213.45	2.83073
7214.45	2.88005
7215.45	2.92468
7216.45	2.9785
7217.45	3.01158
7218.45	3.05315
7219.45	3.07311
7220.45	3.09067
7221.45	3.0952
7222.45	3.09165
7223.45	3.07556
7224.45	3.05919
7225.45	3.02066
7226.45	2.99356
7227.45	2.94918
7228.45	2.91474
7229.45	2.86655
7230.45	2.82893
7231.45	2.78838
7232.45	2.74614
7233.45	2.71583
7234.45	2.67951
7235.45	2.66059
7236.45	2.63724
7237.45	2.62544
7238.45	2.61349
7239.45	2.60923
7240.45	2.60617
7241.45	2.61191
7242.45	2.61757
7243.45	2.62722
7244.45	2.63716
7245.45	2.6513
7246.45	2.66092
7247.45	2.67472
7248.45	2.68162
7249.45	2.68687
7250.45	2.68993
7251.45	2.69025
7252.45	2.68656
7253.45	2.68293
7254.45	2.67777
7255.45	2.67536
7256.45	2.67261
7257.45	2.67302
7258.45	2.67349
7259.45	2.67766
7260.45	2.68368
7261.45	2.69287
7262.45	2.69789
7263.45	2.7057
7264.45	2.71099
7265.45	2.71818
7266.45	2.72471
7267.45	2.73256
7268.45	2.74346
7269.45	2.75386
7270.45	2.76883
7271.45	2.78052
7272.45	2.79512
7273.45	2.80504
7274.45	2.81845
7275.45	2.82698
7276.45	2.83737
7277.45	2.84563
7278.45	2.85315
7279.45	2.8623
7280.45	2.86861
7281.45	2.88051
7282.45	2.88824
7283.45	2.89922
7284.45	2.90764
7285.45	2.91865
7286.45	2.92667
7287.45	2.93407
7288.45	2.93818
7289.45	2.93836
7290.45	2.93259
7291.45	2.92654
7292.45	2.9112
7293.45	2.89543
7294.45	2.87204
7295.45	2.85499
7296.45	2.83254
7297.45	2.80985
7298.45	2.78877
7299.45	2.76428
7300.45	2.74801
7301.45	2.72739
7302.45	2.71377
7303.45	2.69267
7304.45	2.68121
7305.45	2.67019
7306.45	2.66004
7307.45	2.64932
7308.45	2.6412
7309.45	2.63619
7310.45	2.63456
7311.45	2.63192
7312.45	2.62993
7313.45	2.62987
7314.45	2.62946
7315.45	2.63041
7316.45	2.63115
7317.45	2.63037
7318.45	2.62972
7319.45	2.62918
7320.45	2.62854
7321.45	2.62765
7322.45	2.62723
7323.45	2.62728
7324.45	2.62617
7325.45	2.6261
7326.45	2.62589
7327.45	2.62338
7328.45	2.62276
7329.45	2.62262
7330.45	2.61938
7331.45	2.61633
7332.45	2.61379
7333.45	2.61105
7334.45	2.60522
7335.45	2.60136
7336.45	2.59732
7337.45	2.59526
7338.45	2.59295
7339.45	2.59322
7340.45	2.59268
7341.45	2.59353
7342.45	2.59644
7343.45	2.60166
7344.45	2.60828
7345.45	2.61985
7346.45	2.62975
7347.45	2.6434
7348.45	2.65218
7349.45	2.66705
7350.45	2.67818
7351.45	2.69151
7352.45	2.70042
7353.45	2.71218
7354.45	2.72339
7355.45	2.73498
7356.45	2.7439
7357.45	2.75332
7358.45	2.76416
7359.45	2.77111
7360.45	2.78188
7361.45	2.78786
7362.45	2.79468
7363.45	2.80045
7364.45	2.80658
7365.45	2.80883
7366.45	2.81041
7367.45	2.81056
7368.45	2.80981
7369.45	2.80564
7370.45	2.80063
7371.45	2.79521
7372.45	2.78836
7373.45	2.77502
7374.45	2.76409
7375.45	2.74545
7376.45	2.73162
7377.45	2.71006
7378.45	2.69278
7379.45	2.66985
7380.45	2.65127
7381.45	2.62994
7382.45	2.61078
7383.45	2.59179
7384.45	2.57577
7385.45	2.56367
7386.45	2.55227
7387.45	2.5444
7388.45	2.53649
7389.45	2.53263
7390.45	2.5294
7391.45	2.52971
7392.45	2.53074
7393.45	2.53124
7394.45	2.53375
7395.45	2.53716
7396.45	2.54034
7397.45	2.54229
7398.45	2.54469
7399.45	2.54589
7400.45	2.54677
7401.45	2.54652
7402.45	2.54669
7403.45	2.54677
7404.45	2.54647
7405.45	2.54636
7406.45	2.54472
7407.45	2.54443
7408.45	2.54553
7409.45	2.54704
7410.45	2.54765
7411.45	2.54861
7412.45	2.54913
7413.45	2.54912
7414.45	2.54943
7415.45	2.54894
7416.45	2.54718
7417.45	2.54698
7418.45	2.54708
7419.45	2.54565
7420.45	2.54282
7421.45	2.54082
7422.45	2.53813
7423.45	2.53674
7424.45	2.5336
7425.45	2.53022
7426.45	2.52724
7427.45	2.52355
7428.45	2.52024
7429.45	2.51726
7430.45	2.51538
7431.45	2.51614
7432.45	2.51532
7433.45	2.51369
7434.45	2.51487
7435.45	2.51688
7436.45	2.5172
7437.45	2.51937
7438.45	2.52203
7439.45	2.52654
7440.45	2.52927
7441.45	2.53353
7442.45	2.53845
7443.45	2.54394
7444.45	2.54849
7445.45	2.55515
7446.45	2.55986
7447.45	2.56541
7448.45	2.57049
7449.45	2.57431
7450.45	2.57583
7451.45	2.57704
7452.45	2.57826
7453.45	2.57883
7454.45	2.57991
7455.45	2.58163
7456.45	2.58119
7457.45	2.58116
7458.45	2.57981
7459.45	2.57949
7460.45	2.58016
7461.45	2.57978
7462.45	2.57842
7463.45	2.57513
7464.45	2.57075
7465.45	2.56828
7466.45	2.56471
7467.45	2.55926
7468.45	2.55276
7469.45	2.54853
7470.45	2.54203
7471.45	2.53499
7472.45	2.52958
7473.45	2.52233
7474.45	2.51719
7475.45	2.51245
7476.45	2.50829
7477.45	2.50376
7478.45	2.5
7479.45	2.49681
7480.45	2.49515
7481.45	2.48925
7482.45	2.48531
7483.45	2.48101
7484.45	2.47676
7485.45	2.46749
7486.45	2.4619
7487.45	2.45918
7488.45	2.45521
7489.45	2.44709
7490.45	2.44221
7491.45	2.43936
7492.45	2.43529
7493.45	2.43052
7494.45	2.4273
7495.45	2.42371
7496.45	2.42244
7497.45	2.42178
7498.45	2.41987
7499.45	2.41791
