# Energies_eV	Fe-powdre_3.2mg/cm2
7011.45	0.32997
7012.45	0.32965
7013.45	0.32924
7014.45	0.32953
7015.45	0.33016
7016.45	0.33026
7017.45	0.32991
7018.45	0.33083
7019.45	0.33182
7020.45	0.32941
7021.45	0.32939
7022.45	0.33002
7023.45	0.32964
7024.45	0.32984
7025.45	0.33023
7026.45	0.33099
7027.45	0.33132
7028.45	0.33139
7029.45	0.33101
7030.45	0.32983
7031.45	0.32961
7032.45	0.33034
7033.45	0.33022
7034.45	0.33073
7035.45	0.32964
7036.45	0.32951
7037.45	0.32919
7038.45	0.33069
7039.45	0.33428
7040.45	0.33409
7041.45	0.3338
7042.45	0.33624
7043.45	0.33368
7044.45	0.33068
7045.45	0.33133
7046.45	0.3315
7047.45	0.32863
7048.45	0.32771
7049.45	0.32741
7050.45	0.32652
7051.45	0.32538
7052.45	0.32296
7053.45	0.32178
7054.45	0.32016
7055.45	0.32635
7056.45	0.33798
7057.45	0.33923
7058.45	0.33991
7059.45	0.33371
7060.45	0.33112
7061.45	0.32811
7062.45	0.32804
7063.45	0.32746
7064.45	0.32694
7065.45	0.32669
7066.45	0.32689
7067.45	0.32617
7068.45	0.32534
7069.45	0.32538
7070.45	0.32586
7071.45	0.32467
7072.45	0.32463
7073.45	0.32395
7074.45	0.32403
7075.45	0.32413
7076.45	0.32339
7077.45	0.32331
7078.45	0.32394
7079.45	0.3239
7080.45	0.3239
7081.45	0.32385
7082.45	0.32383
7083.45	0.32331
7084.45	0.32362
7085.45	0.32429
7086.45	0.32384
7087.45	0.323
7088.45	0.32414
7089.45	0.32449
7090.45	0.324
7091.45	0.32364
7092.45	0.3245
7093.45	0.32479
7094.45	0.32497
7095.45	0.32633
7096.45	0.32686
7097.45	0.32737
7098.45	0.32745
7099.45	0.32835
7100.45	0.32987
7101.45	0.33143
7102.45	0.33395
7103.45	0.33512
7104.45	0.33988
7105.45	0.34394
7106.45	0.35116
7107.45	0.37075
7108.45	0.38983
7109.45	0.46813
7110.45	0.51008
7111.45	0.59727
7112.45	0.63668
7113.45	0.68348
7114.45	0.71935
7115.45	0.74316
7116.45	0.80755
7117.45	0.84685
7118.45	0.92945
7119.45	0.98701
7120.45	1.04685
7121.45	1.10951
7122.45	1.14363
7123.45	1.19477
7124.45	1.2201
7125.45	1.26117
7126.45	1.29606
7127.45	1.32833
7128.45	1.36565
7129.45	1.38088
7130.45	1.38556
7131.45	1.37644
7132.45	1.35944
7133.45	1.34351
7134.45	1.33096
7135.45	1.32341
7136.45	1.32184
7137.45	1.32776
7138.45	1.33289
7139.45	1.33988
7140.45	1.3418
7141.45	1.34255
7142.45	1.34314
7143.45	1.34433
7144.45	1.34868
7145.45	1.35559
7146.45	1.36398
7147.45	1.37319
7148.45	1.38231
7149.45	1.39202
7150.45	1.3968
7151.45	1.40148
7152.45	1.40319
7153.45	1.40433
7154.45	1.4046
7155.45	1.40403
