# Energies_eV	Pt-foil-5mu
9994.99	1.20861
9995.99	1.23008
9996.99	1.21387
9997.99	1.19826
9998.99	1.21346
9999.99	1.23058
10000.99	1.22516
10001.99	1.22422
10002.99	1.23402
10003.99	1.22063
10004.99	1.21423
10005.99	1.21584
10006.99	1.22133
10007.99	1.22026
10008.99	1.21643
10009.99	1.21555
10010.99	1.23307
10011.99	1.22628
10012.99	1.21363
10013.99	1.21171
10014.99	1.2095
10015.99	1.20627
10016.99	1.21073
10017.99	1.21886
10018.99	1.22235
10019.99	1.21556
10020.99	1.21459
10021.99	1.21406
10022.99	1.21125
10023.99	1.20983
10024.99	1.20664
10025.99	1.20831
10026.99	1.21104
10027.99	1.21011
10028.99	1.20869
10029.99	1.21233
10030.99	1.21335
10031.99	1.21602
10032.99	1.21347
10033.99	1.20977
10034.99	1.21149
10035.99	1.21667
10036.99	1.21544
10037.99	1.21301
10038.99	1.21282
10039.99	1.20484
10040.99	1.20115
10041.99	1.20551
10042.99	1.21103
10043.99	1.20954
10044.99	1.20417
10045.99	1.20562
10046.99	1.20737
10047.99	1.20568
10048.99	1.20485
10049.99	1.2071
10050.99	1.20694
10051.99	1.20673
10052.99	1.20558
10053.99	1.20453
10054.99	1.20728
10055.99	1.20839
10056.99	1.20584
10057.99	1.20554
10058.99	1.20959
10059.99	1.20903
10060.99	1.20325
10061.99	1.19887
10062.99	1.19821
10063.99	1.20069
10064.99	1.19896
10065.99	1.20017
10066.99	1.20538
10067.99	1.20696
10068.99	1.20479
10069.99	1.20247
10070.99	1.20443
10071.99	1.20599
10072.99	1.20272
10073.99	1.19985
10074.99	1.19986
10075.99	1.20123
10076.99	1.19988
10077.99	1.20047
10078.99	1.19995
10079.99	1.19625
10080.99	1.1987
10081.99	1.19992
10082.99	1.20346
10083.99	1.20734
10084.99	1.20473
10085.99	1.20011
10086.99	1.19285
10087.99	1.19024
10088.99	1.19115
10089.99	1.19379
10090.99	1.19587
10091.99	1.19652
10092.99	1.19271
10093.99	1.18902
10094.99	1.18902
10095.99	1.1913
10096.99	1.19206
10097.99	1.19532
10098.99	1.19755
10099.99	1.19056
10100.99	1.19045
10101.99	1.19245
10102.99	1.19061
10103.99	1.19059
10104.99	1.19397
10105.99	1.19198
10106.99	1.18449
10107.99	1.18407
10108.99	1.18645
10109.99	1.18907
10110.99	1.19291
10111.99	1.19349
10112.99	1.19556
10113.99	1.19372
10114.99	1.19403
10115.99	1.1948
10116.99	1.19084
10117.99	1.19213
10118.99	1.19692
10119.99	1.19152
10120.99	1.18791
10121.99	1.18842
10122.99	1.18964
10123.99	1.18847
10124.99	1.18307
10125.99	1.18102
10126.99	1.18353
10127.99	1.18642
10128.99	1.1862
10129.99	1.18676
10130.99	1.1832
10131.99	1.18082
10132.99	1.18245
10133.99	1.18368
10134.99	1.18134
10135.99	1.18024
10136.99	1.18107
10137.99	1.18397
10138.99	1.18506
10139.99	1.18602
10140.99	1.18458
10141.99	1.1852
10142.99	1.18909
10143.99	1.18752
10144.99	1.18481
10145.99	1.17984
10146.99	1.17765
10147.99	1.17924
10148.99	1.17652
10149.99	1.17496
10150.99	1.17464
10151.99	1.17299
10152.99	1.17935
10153.99	1.19013
10154.99	1.18652
10155.99	1.17513
10156.99	1.1759
10157.99	1.18186
10158.99	1.18285
10159.99	1.18141
10160.99	1.17768
10161.99	1.17659
10162.99	1.1754
10163.99	1.17646
10164.99	1.17486
10165.99	1.17408
10166.99	1.17174
10167.99	1.17175
10168.99	1.17052
10169.99	1.16881
10170.99	1.17409
10171.99	1.18193
10172.99	1.17865
10173.99	1.17389
10174.99	1.16999
10175.99	1.17129
10176.99	1.17041
10177.99	1.17124
10178.99	1.17578
10179.99	1.17671
10180.99	1.17045
10181.99	1.16871
10182.99	1.16802
10183.99	1.16638
10184.99	1.17471
10185.99	1.18017
10186.99	1.17518
10187.99	1.16804
10188.99	1.16678
10189.99	1.16584
10190.99	1.17084
10191.99	1.17123
10192.99	1.16501
10193.99	1.16629
10194.99	1.16998
10195.99	1.16942
10196.99	1.1723
10197.99	1.17441
10198.99	1.17478
10199.99	1.17055
10200.99	1.16832
10201.99	1.16984
10202.99	1.16973
10203.99	1.16762
10204.99	1.16622
10205.99	1.16534
10206.99	1.16526
10207.99	1.16313
10208.99	1.16499
10209.99	1.16284
10210.99	1.15796
10211.99	1.15936
10212.99	1.16482
10213.99	1.16623
10214.99	1.1604
10215.99	1.15531
10216.99	1.15909
10217.99	1.16596
10218.99	1.16728
10219.99	1.16198
10220.99	1.15689
10221.99	1.15256
10222.99	1.15653
10223.99	1.15838
10224.99	1.15776
10225.99	1.15643
10226.99	1.15561
10227.99	1.15578
10228.99	1.15701
10229.99	1.15719
10230.99	1.15964
10231.99	1.16053
10232.99	1.15167
10233.99	1.14896
10234.99	1.15428
10235.99	1.15773
10236.99	1.15712
10237.99	1.15906
10238.99	1.16061
10239.99	1.15606
10240.99	1.15205
10241.99	1.15163
10242.99	1.15176
10243.99	1.15558
10244.99	1.15682
10245.99	1.15621
