# Energies_eV	Pt-foil-5mu
11431.99	0.8481
11432.99	0.84786
11433.99	0.84881
11434.99	0.84828
11435.99	0.84966
11436.99	0.8497
11437.99	0.84919
11438.99	0.84891
11439.99	0.84884
11440.99	0.84934
11441.99	0.84932
11442.99	0.85037
11443.99	0.8494
11444.99	0.85087
11445.99	0.85248
11446.99	0.8533
11447.99	0.85015
11448.99	0.84954
11449.99	0.84922
11450.99	0.84781
11451.99	0.84905
11452.99	0.84937
11453.99	0.85015
11454.99	0.84961
11455.99	0.84914
11456.99	0.85025
11457.99	0.85104
11458.99	0.85083
11459.99	0.85081
11460.99	0.8505
11461.99	0.8512
11462.99	0.84797
11463.99	0.84731
11464.99	0.84881
11465.99	0.84844
11466.99	0.8483
11467.99	0.84803
11468.99	0.84934
11469.99	0.8486
11470.99	0.84697
11471.99	0.8459
11472.99	0.84654
11473.99	0.84573
11474.99	0.84587
11475.99	0.84537
11476.99	0.84555
11477.99	0.8453
11478.99	0.84473
11479.99	0.84431
11480.99	0.84418
11481.99	0.84522
11482.99	0.84607
11483.99	0.8446
11484.99	0.84644
11485.99	0.84394
11486.99	0.84354
11487.99	0.84383
11488.99	0.84358
11489.99	0.8433
11490.99	0.8435
11491.99	0.84272
11492.99	0.84285
11493.99	0.84159
11494.99	0.84107
11495.99	0.84111
11496.99	0.84175
11497.99	0.8412
11498.99	0.84145
11499.99	0.84067
11500.99	0.842
11501.99	0.84188
11502.99	0.84204
11503.99	0.84192
11504.99	0.8412
11505.99	0.84176
11506.99	0.84089
11507.99	0.84099
11508.99	0.84132
11509.99	0.84128
11510.99	0.84251
11511.99	0.84313
11512.99	0.84302
11513.99	0.84225
11514.99	0.84162
11515.99	0.84155
11516.99	0.8424
11517.99	0.8431
11518.99	0.84257
11519.99	0.84128
11520.99	0.84138
11521.99	0.84092
11522.99	0.84224
11523.99	0.84316
11524.99	0.84387
11525.99	0.84426
11526.99	0.84472
11527.99	0.84474
11528.99	0.84681
11529.99	0.84724
11530.99	0.84796
11531.99	0.84859
11532.99	0.84901
11533.99	0.84965
11534.99	0.85257
11535.99	0.85328
11536.99	0.85419
11537.99	0.85707
11538.99	0.8581
11539.99	0.8598
11540.99	0.86319
11541.99	0.86427
11542.99	0.86796
11543.99	0.87304
11544.99	0.87491
11545.99	0.8803
11546.99	0.88709
11547.99	0.88947
11548.99	0.89941
11549.99	0.90862
11550.99	0.91168
11551.99	0.93121
11552.99	0.94473
11553.99	0.95102
11554.99	0.98962
11555.99	1.01808
11556.99	1.0356
11557.99	1.12861
11558.99	1.18848
11559.99	1.23243
11560.99	1.43904
11561.99	1.54886
11562.99	1.63082
11563.99	1.85443
11564.99	1.93752
11565.99	1.98387
11566.99	2.02555
11567.99	2.0372
11568.99	2.03201
11569.99	2.00243
11570.99	1.99437
11571.99	1.98386
11572.99	1.96785
11573.99	1.96463
11574.99	1.96597
11575.99	1.97162
11576.99	1.97546
11577.99	1.98442
11578.99	1.99113
11579.99	1.99221
11580.99	1.98609
11581.99	1.97824
11582.99	1.97518
11583.99	1.96577
11584.99	1.9606
11585.99	1.95897
11586.99	1.96274
11587.99	1.96913
11588.99	1.97258
11589.99	1.99571
11590.99	2.00968
11591.99	2.01631
11592.99	2.03392
11593.99	2.04061
11594.99	2.04199
11595.99	2.03533
11596.99	2.02859
11597.99	2.02459
11598.99	2.01025
11599.99	2.0039
11600.99	1.9991
11601.99	1.98917
11602.99	1.98462
11603.99	1.98147
11604.99	1.97323
11605.99	1.96973
11606.99	1.96583
11607.99	1.96249
11608.99	1.96345
11609.99	1.96654
11610.99	1.97445
11611.99	1.97887
11612.99	1.98539
11613.99	1.99646
11614.99	2.00135
11615.99	2.01021
11616.99	2.02141
11617.99	2.02602
11618.99	2.03146
11619.99	2.03692
11620.99	2.03821
11621.99	2.03804
11622.99	2.03637
11623.99	2.03519
11624.99	2.03193
11625.99	2.02771
11626.99	2.02543
11627.99	2.02007
11628.99	2.01574
11629.99	2.01416
11630.99	2.01091
11631.99	2.0082
11632.99	2.00641
11633.99	2.00305
11634.99	1.99986
11635.99	1.99798
11636.99	1.99067
11637.99	1.98684
11638.99	1.98488
11639.99	1.97764
11640.99	1.97212
11641.99	1.96897
11642.99	1.96135
11643.99	1.95812
11644.99	1.95658
11645.99	1.95254
11646.99	1.95025
11647.99	1.94876
11648.99	1.94626
11649.99	1.94558
11650.99	1.94561
11651.99	1.94661
11652.99	1.94847
11653.99	1.95062
11654.99	1.95501
11655.99	1.95741
11656.99	1.96029
11657.99	1.96747
11658.99	1.9713
11659.99	1.97353
11660.99	1.97891
11661.99	1.98074
11662.99	1.98233
11663.99	1.98542
11664.99	1.98751
11665.99	1.98872
11666.99	1.98917
11667.99	1.98916
11668.99	1.98908
11669.99	1.98937
11670.99	1.9892
11671.99	1.98864
11672.99	1.98721
11673.99	1.9858
11674.99	1.98453
11675.99	1.98255
11676.99	1.98281
11677.99	1.98307
11678.99	1.98242
11679.99	1.98074
11680.99	1.98083
11681.99	1.98171
11682.99	1.98263
11683.99	1.98302
11684.99	1.98388
11685.99	1.98497
11686.99	1.98569
11687.99	1.98671
11688.99	1.98749
11689.99	1.98883
11690.99	1.98916
11691.99	1.98893
11692.99	1.98758
11693.99	1.98611
11694.99	1.98473
11695.99	1.98269
11696.99	1.98006
11697.99	1.97815
11698.99	1.97429
11699.99	1.96923
11700.99	1.96644
11701.99	1.96189
11702.99	1.95775
11703.99	1.95442
11704.99	1.95056
11705.99	1.94558
11706.99	1.94432
11707.99	1.94306
11708.99	1.94229
11709.99	1.94077
11710.99	1.93966
