# Sample I1 = col 2  I2= col 3, mu = ln(I1/I2), Reference not available
#S 1  zapline mono 16.5279 14.3086 1409 300 
#D Sun Nov 12 17:20:02 2017
#T 300  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 -5.7000169 0 0.2 3.3333333e-07 -1425.473 3 14000 -0.1
#P1 9.043 70 0 4.7300003 0.24 0 0 
#P2 43.155625 45.715313 24.684375 88.871 -1.28 9.483477 39.3 -0.377
#P3 -1.2126797 -3.715 -11.937714 16.403923 -2.2549199 10 38 3.9999997
#P4 34.999994 0 35 0.30307037 0.30304712 -0.0002325 0.30305875 57.213563
#P5 1.0493125 76.568551 4.51 1560 29.8325 51.932812 81.7655 -11.05
#P6 74 14.3086 -568939.53 50 20 0.99752498 17 3.6
#P7 -1.92 -0.3 5 0 14.50866 0 0 
#UMI0     Current AutoM      Shutter    
#UMI1      166.15    ON     FE open     
#UMI2 Refill in 13200 sec, Fill Mode: 7/8 multibunch / Message: Nov 12 09:04 Delivery:Next Refill at 21:00; 
#N 18
#ZapEnergy Mon Ion1 Ion2
6.9506145 64908 17366 23507 
6.9510541 65044 17405 23606 
6.9519291 64905 17423 23666 
6.9528003 63839 17181 23542 
6.95367 64211 17304 23368 
6.9545436 65372 17629 23526 
6.9554176 65253 17621 23729 
6.9562879 65237 17614 23679 
6.9571481 65244 17649 23698 
6.9580145 65246 17684 23562 
6.9588852 65261 17701 23587 
6.9597502 65301 17731 23631 
6.9606156 65325 17802 23659 
6.9614849 65332 17800 23816 
6.9623504 65376 17862 23658 
6.9632163 65403 17918 23619 
6.9640884 65409 17933 23836 
6.9649549 65433 17979 23714 
6.9658194 65451 17992 23789 
6.9666901 65498 18080 23763 
6.9675531 65518 18151 23852 
6.96842 65528 18117 23783 
6.9692936 65555 18173 23781 
6.9701595 65554 18226 23734 
6.9710355 65608 18280 23746 
6.9719095 65590 18284 23845 
6.9727716 65636 18310 23798 
6.9736466 65647 18345 23904 
6.9745173 65669 18414 23798 
6.9753861 65763 18454 23785 
6.9762535 65760 18493 23845 
6.9771252 65824 18535 23923 
6.9779987 65833 18622 23946 
6.9788666 65838 18648 23997 
6.979743 65887 18711 23978 
6.9806175 65939 18782 23947 
6.9814858 65938 18797 23928 
6.9823565 65973 18797 24042 
6.9832215 65960 18763 23711 
6.9840927 66004 18850 23873 
6.9849682 66022 18923 24062 
6.9858398 66058 18935 24051 
6.9867201 66075 19026 24054 
6.9875965 66084 19077 24103 
