# Sample Noprmalized mu = col 2  
# This file has been produced by extranormal (v 1.0.1 - February 23, 2017)
# O. Roudenko - Synchrotron SOLEIL. Covered by GPL licence.
#Data from HDF File: /nfs/ruche-rock/rock-soleil/com-rock/2019/Projets/20191212_Matthias/References/Mo_foil/Mo_foil_00002.nxs to Mo_foil_00051.nxs
#Time at start=2019-12-17 12:08:56.932
#Time from start (seconds)=129.260314251
#Sample temperature (C)=nan
# Normalization -------------
# pivot spectrum: Standard_Mo_s3_100_He_Mo_0001_av1200_00001.txt
# E0=20000.0   Eshift=4.20721580259
# E0_pivot = 20000.0
# pre-edge params: from E0_pivot-250.0 to E0_pivot-60.0
# pre-edge range: [19750.0, 19940.0]
# post-edge params: from E0_pivot+150.0 to E0_pivot+1300.0
# post-edge range: [20150.0, 21300.0]
# I jump at E0_pivot = 1.11007626724
# shifted energy	normalized	reference	ref.derivative
       19750  0.001053091      0.45813 -5.710122e-05
       19753  0.001053091      0.45813 -5.710122e-05
       19756  0.001053091      0.45813 -5.710122e-05
       19759 0.0009206821    0.4579154 -6.016663e-05
       19762 0.0008481693     0.457725 -6.251716e-05
       19765 0.0007796961    0.4575916 -6.041332e-05
       19768 0.0007418861    0.4573798 -5.758006e-05
       19771 0.0006630658    0.4571904 -5.751084e-05
       19774 0.0006128214     0.457034 -5.49786e-05
       19777 0.0005256107    0.4569014 -5.488454e-05
       19780 0.0004103993    0.4567201  -5.5976e-05
       19783 0.0003229355    0.4565318 -6.268601e-05
       19786 0.0003138898    0.4563623 -6.516453e-05
       19789 0.0002348655    0.4561492 -6.340003e-05
       19792 2.519639e-05    0.4559381 -6.276817e-05
       19795 3.946117e-05     0.455771 -5.921866e-05
       19798 0.0001110743    0.4556091 -5.687269e-05
       19801 -1.644901e-05    0.4554386 -6.061702e-05
       19804 -6.959348e-05    0.4552556 -5.35217e-05
       19807 0.0001871231    0.4550436 -4.170506e-05
       19810 7.039348e-05    0.4549668 -3.495792e-05
       19813 -0.0002176847    0.4549381 -3.17236e-05
       19816 -0.000332828    0.4548361 -4.187317e-05
       19819 -0.0003724642    0.4546629 -5.496648e-05
       19822 -0.0003860913    0.4544643 -5.624297e-05
       19825 -0.0004113018    0.4542785 -5.187934e-05
       19828 -0.000453989    0.4541612 -4.956208e-05
       19831 -0.0004749738    0.4540404 -4.579747e-05
       19834 -0.0005101283    0.4538696 -5.245585e-05
       19837 -0.0005551818    0.4537289 -4.963542e-05
       19840 -0.0005699231    0.4535317 -4.487918e-05
       19843 -0.0006072275    0.4534447 -4.621835e-05
       19846 -0.0006625657     0.453331 -3.797114e-05
       19849 -0.0007441214    0.4531743 -3.786892e-05
       19852 -0.0007617855    0.4530761 -4.121048e-05
       19855 -0.0007529258    0.4529903 -4.182785e-05
       19858 -0.0007774507    0.4528365 -4.594168e-05
       19861 -0.0008184987    0.4526724 -4.501332e-05
       19864 -0.0008630325    0.4525248 -3.871151e-05
       19867 -0.0008177146    0.4524502 -3.436289e-05
       19870 -0.0007954728     0.452372 -3.126334e-05
       19873 -0.0008026428      0.45226 -2.85622e-05
       19876 -0.0007841192    0.4521496 -2.993104e-05
       19879 -0.0007450475    0.4521074 -3.147095e-05
       19882 -0.0006971405    0.4520128 -2.351556e-05
       19885 -0.0007028144    0.4518824 -2.197213e-05
       19888 -0.0006985162    0.4518674 -1.766585e-05
       19891 -0.0006610406    0.4518437 -9.918208e-06
       19894 -0.0006230865    0.4518008 -8.26969e-06
       19897 -0.0005463573    0.4517634 -2.585597e-06
       19900 -0.0003761313    0.4517682 1.370636e-06
       19903 -0.0002464246    0.4518127 5.184944e-06
       19906 -0.0001974247    0.4518173 1.084619e-05
       19909   -0.0001516    0.4518256 7.796896e-06
       19912 -8.660092e-05    0.4518983  1.45352e-05
       19915 -8.266402e-06    0.4519063 2.274122e-05
       19918 0.0001380773    0.4519917 2.451171e-05
       19921 0.0003796563    0.4520985   4.4305e-05
       19924 0.0005942271    0.4521925 5.301186e-05
       19927 0.0007304461    0.4524379 6.048744e-05
       19930 0.0009707569    0.4526278 7.068494e-05
       19933  0.001217415    0.4528243 7.000304e-05
       19936  0.001505196    0.4530407 8.323547e-05
       19939  0.001910627     0.453278 0.0001040551
       19942  0.002320284    0.4536266 0.0001288795
       19945  0.002757193     0.454073 0.0001515213
       19948  0.003239517    0.4545873 0.0001748653
       19950  0.003604636    0.4549332 0.0001877335
     19950.5  0.003710345    0.4550147 0.0001890057
       19951  0.003816053    0.4550962 0.0001902778
     19951.5  0.003921761    0.4551777   0.00019155
       19952   0.00402747    0.4552592 0.0001928222
     19952.5  0.004144035    0.4553716 0.0001919827
       19953  0.004268284     0.455506 0.0001896487
     19953.5  0.004392533    0.4556403 0.0001873146
       19954  0.004516783    0.4557746 0.0001849806
     19954.5   0.00465251    0.4558762 0.0002089524
       19955  0.004796942    0.4559084 0.0002165909
     19955.5   0.00491188    0.4560123 0.0002382915
       19956  0.004999625    0.4561816  0.000326143
     19956.5  0.005092945    0.4563528 0.0003378846
       19957  0.005206704    0.4565607 0.0002789766
     19957.5  0.005355303    0.4566881 0.0002538025
       19958  0.005544103    0.4567396 0.0002596289
     19958.5  0.005695929    0.4568604 0.0002946893
       19959  0.005809167    0.4570799 0.0003477857
     19959.5  0.005971824    0.4572775  0.000366678
       19960  0.006165022    0.4574352 0.0003048729
     19960.5  0.006385094    0.4575938  0.000296924
       19961  0.006562721    0.4576897 0.0003373596
     19961.5  0.006700441    0.4578713 0.0003664974
       19962  0.006870241    0.4581099 0.0004142532
     19962.5  0.007046577    0.4583268  0.000409557
       19963  0.007221838    0.4585182 0.0004023925
     19963.5  0.007431695    0.4586905 0.0004400526
       19964  0.007665352    0.4589147 0.0004462149
     19964.5  0.007859247    0.4592069  0.000452775
       19965  0.008080399    0.4594106 0.0004600738
     19965.5   0.00829603     0.459596 0.0004380546
       19966   0.00851799    0.4598348 0.0004655503
     19966.5  0.008781016     0.460083 0.0005398687
       19967  0.009071247    0.4603417 0.0005544956
     19967.5  0.009320291    0.4606757 0.0005506566
       19968  0.009534243    0.4609438 0.0005595276
     19968.5  0.009756685    0.4611843 0.0005008939
       19969   0.01002437    0.4614608 0.0005136438
     19969.5   0.01033218    0.4616775  0.000559743
       19970   0.01062654    0.4619711 0.0005709622
     19970.5   0.01089633    0.4623038 0.0006265881
       19971   0.01119905    0.4626027 0.0006507995
     19971.5   0.01152585    0.4629307  0.000658438
       19972   0.01182492    0.4632727 0.0007120793
     19972.5   0.01213309    0.4636207 0.0007661321
       19973   0.01249832    0.4640269 0.0007989258
     19973.5    0.0128483     0.464463 0.0008455656
       19974   0.01318614    0.4648705  0.000855694
     19974.5     0.013545    0.4653118 0.0008321465
       19975    0.0139485    0.4657383 0.0008466657
     19975.5   0.01440716    0.4661273 0.0008438804
       19976   0.01484525    0.4665639 0.0008772284
     19976.5   0.01529305    0.4669996 0.0009708144
       19977    0.0157513    0.4674927  0.001026507
     19977.5    0.0162062    0.4680689  0.001097881
       19978   0.01671105    0.4686169  0.001178107
     19978.5   0.01726734    0.4691953  0.001213727
       19979   0.01780659    0.4698489  0.001273193
     19979.5   0.01834749    0.4704963  0.001366726
       19980    0.0189675    0.4711633  0.001430178
     19980.5    0.0196681    0.4719288  0.001498912
       19981    0.0203958    0.4727093  0.001613561
     19981.5   0.02115748    0.4734942  0.001679513
       19982   0.02194946    0.4743904  0.001750035
     19982.5   0.02275246    0.4752878  0.001860455
       19983   0.02361056    0.4762094  0.001946668
     19983.5   0.02451994    0.4772151  0.002087046
       19984   0.02548297    0.4782837  0.002239591
     19984.5   0.02653087    0.4794619  0.002388244
       19985   0.02765249    0.4806885   0.00254606
     19985.5   0.02885203    0.4819916  0.002660624
       19986   0.03010582    0.4833759  0.002786486
     19986.5   0.03139883    0.4847831  0.002926552
       19987   0.03275851    0.4862615   0.00310084
     19987.5   0.03416796    0.4878447  0.003339033
       19988   0.03569629    0.4895775  0.003592477
     19988.5   0.03745717    0.4914612  0.003983238
       19989   0.03936581    0.4934465  0.004399084
     19989.5   0.04135972    0.4958111  0.004754658
       19990   0.04350873    0.4983757  0.005196525
     19990.5   0.04590348    0.5009705  0.005623326
       19991   0.04850065    0.5038395  0.006091128
     19991.5   0.05135987    0.5070578  0.006781053
       19992   0.05450149     0.510558   0.00758775
     19992.5   0.05820251    0.5145326  0.008577231
       19993    0.0623563     0.519015  0.009741023
     19993.5   0.06706578    0.5242123   0.01117399
       19994   0.07238892      0.53004   0.01285593
     19994.5    0.0786095    0.5368806   0.01492803
       19995   0.08581532    0.5447269   0.01747724
     19995.5   0.09449365    0.5540683   0.02060314
       19996    0.1046097    0.5649945   0.02436286
     19996.5    0.1167257    0.5780869   0.02873149
       19997    0.1308903    0.5934526   0.03373659
     19997.5    0.1477276    0.6115313   0.03915166
       19998    0.1672284    0.6324677   0.04490087
     19998.5     0.189399    0.6563902   0.05053037
       19999    0.2138925    0.6832543   0.05568866
     19999.5    0.2404392     0.712592   0.05931765
       20000    0.2683343     0.743845   0.06125677
     20000.5    0.2960609    0.7750255   0.06114573
       20001    0.3231278    0.8057679   0.05925748
     20001.5    0.3488447    0.8348835   0.05685309
       20002    0.3732621    0.8623599   0.05427017
     20002.5    0.3967003    0.8887317   0.05252823
       20003    0.4195884    0.9143082    0.0517113
     20003.5    0.4425881    0.9399399   0.05141899
       20004    0.4658241    0.9657825   0.05168601
     20004.5    0.4891712    0.9915697   0.05183432
       20005    0.5127764      1.01768   0.05157547
     20005.5    0.5361261     1.043609   0.05140322
       20006    0.5589745     1.068933   0.05124951
     20006.5    0.5820999     1.094376   0.05159395
       20007    0.6055879     1.120179   0.05290346
     20007.5    0.6298828     1.146796   0.05465176
       20008    0.6556301      1.17474   0.05695096
     20008.5    0.6825005      1.20368   0.05991465
       20009    0.7107355     1.234081   0.06302324
     20009.5    0.7407878     1.266626   0.06671053
       20010    0.7725114     1.300787   0.07068111
     20010.5    0.8058112     1.337101   0.07392329
       20011    0.8401915     1.375443   0.07609185
     20011.5    0.8746016     1.414472   0.07614411
       20012    0.9084396     1.452971    0.0727856
     20012.5    0.9399755     1.489389   0.06695146
       20013    0.9672246     1.521015   0.05888539
     20013.5    0.9907332     1.548375   0.04953412
       20014      1.00977     1.570741   0.04025528
     20014.5     1.024862     1.588457   0.03082886
       20015     1.035821     1.601525   0.02129708
     20015.5     1.042917     1.610033   0.01202102
       20016      1.04574     1.613336  0.002749416
     20016.5     1.044796     1.612499 -0.005947083
       20017     1.040081     1.607024  -0.01351573
     20017.5     1.032286     1.598139   -0.0199572
       20018     1.021917     1.586304  -0.02403483
