# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
1.8766000000E+001  -7.2355482538E-001
1.8770000000E+001  -7.2364216586E-001
1.8774000000E+001  -7.2410218990E-001
1.8778000000E+001  -7.2469301445E-001
1.8782000000E+001  -7.2539483127E-001
1.8786000000E+001  -7.2651300623E-001
1.8790000000E+001  -7.2693981660E-001
1.8794000000E+001  -7.2738005034E-001
1.8798000000E+001  -7.2762919834E-001
1.8802000000E+001  -7.2894524763E-001
1.8806000000E+001  -7.2966065758E-001
1.8810000000E+001  -7.3019263320E-001
1.8814000000E+001  -7.3113403508E-001
1.8818000000E+001  -7.3173628162E-001
1.8822000000E+001  -7.3155512150E-001
1.8826000000E+001  -7.3295279819E-001
1.8830000000E+001  -7.3366543357E-001
1.8834000000E+001  -7.3378847027E-001
1.8838000000E+001  -7.3478336789E-001
1.8842000000E+001  -7.3515631690E-001
1.8846000000E+001  -7.3634822473E-001
1.8850000000E+001  -7.3696090477E-001
1.8854000000E+001  -7.3728277184E-001
1.8858000000E+001  -7.3745410504E-001
1.8862000000E+001  -7.3870989419E-001
1.8866000000E+001  -7.3906205178E-001
1.8870000000E+001  -7.3924441580E-001
1.8874000000E+001  -7.3985186355E-001
1.8878000000E+001  -7.4050455193E-001
1.8882000000E+001  -7.4122107343E-001
1.8886000000E+001  -7.4176631730E-001
1.8890000000E+001  -7.4201151153E-001
1.8894000000E+001  -7.4230769019E-001
1.8898000000E+001  -7.4265004080E-001
1.8902000000E+001  -7.4323069984E-001
1.8906000000E+001  -7.4305065539E-001
1.8910000000E+001  -7.4378484776E-001
1.8914000000E+001  -7.4292856242E-001
1.8918000000E+001  -7.4369208497E-001
1.8922000000E+001  -7.4363681792E-001
1.8926000000E+001  -7.4385869430E-001
1.8930000000E+001  -7.4338907612E-001
1.8934000000E+001  -7.4332885013E-001
1.8938000000E+001  -7.4239281482E-001
1.8942000000E+001  -7.4109832075E-001
1.8946000000E+001  -7.3999557559E-001
1.8950000000E+001  -7.3824104537E-001
1.8954000000E+001  -7.3550560186E-001
1.8958000000E+001  -7.3241784125E-001
1.8962000000E+001  -7.2787529141E-001
1.8966000000E+001  -7.2128869744E-001
1.8966500000E+001  -7.2079388291E-001
1.8967000000E+001  -7.1922579278E-001
1.8967500000E+001  -7.1794474424E-001
1.8968000000E+001  -7.1726556898E-001
1.8968500000E+001  -7.1633669851E-001
1.8969000000E+001  -7.1450171720E-001
1.8969500000E+001  -7.1288403857E-001
1.8970000000E+001  -7.1166559186E-001
1.8970500000E+001  -7.0967964281E-001
1.8971000000E+001  -7.0855299343E-001
1.8971500000E+001  -7.0638855898E-001
1.8972000000E+001  -7.0460283636E-001
1.8972500000E+001  -7.0237349162E-001
1.8973000000E+001  -7.0028614804E-001
1.8973500000E+001  -6.9821774765E-001
1.8974000000E+001  -6.9540833157E-001
1.8974500000E+001  -6.9295833198E-001
1.8975000000E+001  -6.9026012755E-001
1.8975500000E+001  -6.8676617168E-001
1.8976000000E+001  -6.8342149448E-001
1.8976500000E+001  -6.7901158388E-001
1.8977000000E+001  -6.7512621153E-001
1.8977500000E+001  -6.7006936848E-001
1.8978000000E+001  -6.6462141407E-001
1.8978500000E+001  -6.5874409313E-001
1.8979000000E+001  -6.5270781013E-001
1.8979500000E+001  -6.4552539239E-001
1.8980000000E+001  -6.3624333687E-001
1.8980500000E+001  -6.2738897408E-001
1.8981000000E+001  -6.1550818098E-001
1.8981500000E+001  -6.0266050449E-001
1.8982000000E+001  -5.8658888801E-001
1.8982500000E+001  -5.6709331842E-001
1.8983000000E+001  -5.4241122290E-001
1.8983500000E+001  -5.1178062794E-001
1.8984000000E+001  -4.7398737660E-001
1.8984500000E+001  -4.2611692128E-001
1.8985000000E+001  -3.6709519369E-001
1.8985500000E+001  -2.9526218421E-001
1.8986000000E+001  -2.1844560154E-001
1.8986500000E+001  -1.4406246627E-001
1.8987000000E+001  -7.6898753738E-002
1.8987500000E+001  -2.7800806863E-002
1.8988000000E+001  4.7091908699E-003
1.8988500000E+001  2.4396321970E-002
1.8989000000E+001  3.9659379119E-002
1.8989500000E+001  5.4543188627E-002
1.8990000000E+001  7.3695675500E-002
1.8990500000E+001  9.7763909721E-002
1.8991000000E+001  1.2655779951E-001
1.8991500000E+001  1.5955944464E-001
1.8992000000E+001  1.9676866206E-001
1.8992500000E+001  2.3496959592E-001
1.8993000000E+001  2.7607216394E-001
1.8993500000E+001  3.2118746040E-001
1.8994000000E+001  3.6552235460E-001
1.8994500000E+001  4.1065651783E-001
1.8995000000E+001  4.5666117912E-001
1.8995500000E+001  5.0629177632E-001
1.8996000000E+001  5.6110683083E-001
1.8996500000E+001  6.1967660759E-001
1.8997000000E+001  6.8206080957E-001
1.8997500000E+001  7.5152630023E-001
1.8998000000E+001  8.2484842242E-001
1.8998500000E+001  8.9354728397E-001
1.8999000000E+001  9.5943619942E-001
1.8999500000E+001  1.0176763585E+000
1.9000000000E+001  1.0690447078E+000
1.9000500000E+001  1.1111190238E+000
1.9001000000E+001  1.1420084972E+000
1.9001500000E+001  1.1651639052E+000
1.9002000000E+001  1.1799560486E+000
1.9002500000E+001  1.1843735973E+000
1.9003000000E+001  1.1794223268E+000
1.9003500000E+001  1.1656334828E+000
1.9004000000E+001  1.1429751409E+000
1.9004500000E+001  1.1161789970E+000
1.9005000000E+001  1.0890760286E+000
