# Sample I1 = col 7  I2= col 8, mu = ln(I1/I2)
# Energy, Theta, XMU, FLUO, REF, FLUO_RAW, I0, I1, I2, I3
1.140002343750000000e+04 1.645131874084472656e+01 -7.458509206771850586e-01 1.965930702732665907e+02 1.616131961345672607e-01 1.893794220020239436e+02 2.967587471008300781e+00 6.256370544433593750e+00 5.322733879089355469e+00 0.000000000000000000e+00
1.140002441406250000e+04 1.645131492614746094e+01 -7.459196448326110840e-01 2.307184329421942834e+02 1.618835479021072388e-01 2.217102644181255471e+02 2.967837333679199219e+00 6.257327556610107422e+00 5.322108745574951172e+00 0.000000000000000000e+00
1.140003027343750000e+04 1.645130538940429688e+01 -7.457386851310729980e-01 2.168448604697735789e+02 1.614266633987426758e-01 2.092294406665362771e+02 2.968033552169799805e+00 6.256608963012695312e+00 5.323929786682128906e+00 0.000000000000000000e+00
1.140004003906250000e+04 1.645129013061523438e+01 -7.457523941993713379e-01 2.185830878549810166e+02 1.617492884397506714e-01 2.102564587540377374e+02 2.967804193496704102e+00 6.256211280822753906e+00 5.321873664855957031e+00 0.000000000000000000e+00
1.140010839843750000e+04 1.645119285583496094e+01 -7.456861734390258789e-01 2.153409119370747931e+02 1.616701930761337280e-01 2.068899559139191524e+02 2.967761278152465820e+00 6.255706310272216797e+00 5.321865081787109375e+00 0.000000000000000000e+00
1.140022265625000000e+04 1.645101928710937500e+01 -7.456976175308227539e-01 2.099166286242877959e+02 1.617153137922286987e-01 2.024094338930637491e+02 2.964288711547851562e+00 6.248457908630371094e+00 5.315459251403808594e+00 0.000000000000000000e+00
1.140033398437500000e+04 1.645085334777832031e+01 -7.458403110504150391e-01 2.195004152920289755e+02 1.616456508636474609e-01 2.116514904535737571e+02 2.962417125701904297e+00 6.245403766632080078e+00 5.313230991363525391e+00 0.000000000000000000e+00
1.140045800781250000e+04 1.645067024230957031e+01 -7.458527684211730957e-01 2.019644246257261386e+02 1.615808457136154175e-01 1.947019267668653413e+02 2.963504314422607422e+00 6.247774124145507812e+00 5.315592288970947266e+00 0.000000000000000000e+00
1.140059765625000000e+04 1.645046424865722656e+01 -7.456453442573547363e-01 2.237000355561222307e+02 1.616204977035522461e-01 2.157383187456403846e+02 2.948015928268432617e+00 6.213831901550292969e+00 5.286504745483398438e+00 0.000000000000000000e+00
1.140075390625000000e+04 1.645023155212402344e+01 -7.457177042961120605e-01 2.178880697262659112e+02 1.616405844688415527e-01 2.101616409503446050e+02 2.950110197067260742e+00 6.218696117401123047e+00 5.290536403656005859e+00 0.000000000000000000e+00
1.140093066406250000e+04 1.644997024536132812e+01 -7.456880807876586914e-01 2.143932518076858287e+02 1.614888459444046021e-01 2.058320331231349485e+02 2.953864812850952148e+00 6.226426124572753906e+00 5.297916889190673828e+00 0.000000000000000000e+00
1.140112988281250000e+04 1.644967460632324219e+01 -7.459182143211364746e-01 2.314335174560707173e+02 1.615253686904907227e-01 2.227102052984641318e+02 2.959002256393432617e+00 6.238690853118896484e+00 5.308158397674560547e+00 0.000000000000000000e+00
1.140134375000000000e+04 1.644935798645019531e+01 -7.460214495658874512e-01 2.088956106865410902e+02 1.616694778203964233e-01 2.011626323039092767e+02 2.962776899337768555e+00 6.247293949127197266e+00 5.314712524414062500e+00 0.000000000000000000e+00
1.140157519531250000e+04 1.644901275634765625e+01 -7.461249232292175293e-01 2.232692216624135142e+02 1.615042686462402344e-01 2.148192998189799710e+02 2.965282917022705078e+00 6.253225326538085938e+00 5.320637226104736328e+00 0.000000000000000000e+00
